app,media_source,date_campaign,campaign,Cost,Clicks,Impressions,Installs
com.ankapp,Facebook Ads,2021-06-28,p:FB_nom:RMKT OB Sin transacciones_os:Mix_ef:RT_obj:Conversiones_ev:Purchase_tipo:AlwaysOn_expid:na,24162.2701,367,100145,21
com.ankapp,Landing Pages,2021-06-28,Footer Landings,0.0,29,0,3
com.ankapp,Organic,2021-06-28,organic,0.0,0,0,282
com.ankapp,Twitter,2021-06-28,IMS_p:TW_nom:Descargas_os:Android_ef:Acq_ev:Installs_plac:MAP_expid:_aud:Demographic10,0.0,0,0,5
com.ankapp,Twitter,2021-06-28,IMS_p:TW_nom:Descargas_os:Android_ef:Acq_ev:Installs_plac:MAP_expid:_aud:Tech10,0.0,0,0,1
com.ankapp,Twitter,2021-06-28,p:TW_nom:Descargas Shoppers_os:Android_ef:Acq_obj:App Cards_ev:Installs_tipo:AlwaysOn_expid:na,34349.8335,4738,746259,13
com.ankapp,Twitter,2021-06-28,p:TW_nom:Descargas Twitter_os:Android_ef:Acq_obj:App Cards_ev:Installs_tipo:AlwaysOn_expid:na,63043.3462,11508,1818764,29
com.ankapp,Twitter,2021-06-28,p:TW_nom:Descargas Viajeros_os:Android_ef:Acq_obj:App Cards_ev:Installs_tipo:AlwaysOn_expid:na,26867.2693,3862,576711,10
com.ankapp,User_invite,2021-06-28,ankbassadors,0.0,2,0,0
com.ankapp,User_invite,2021-06-28,ankbassadors,0.0,4855,0,1194
com.ankapp,User_invite,2021-06-28,ankbassadors⁡_click_lookback=7d⁡_web_dp=https://ank.app/⁡_adset=2064bd6b-1b48-4602-a222-97934c422dc1,0.0,4,0,1
com.ankapp,googleadwords_int,2021-06-28,p:G_nom:Eventos Android 4_os:Android_ef:Acq_obj:Apps Auto_ev:Bank Account Added_tipo:AlwaysOn,40731.5485,1662,219783,172
com.ankapp,googleadwords_int,2021-06-28,p:G_nom:Eventos Android 4_os:Android_ef:Acq_obj:Apps Auto_ev:OBC_tipo:AlwaysOn,39801.3363,1557,218372,61
com.ankapp,googleadwords_int,2021-06-28,p:G_nom:RMKT OB Incompleto_os:Android_ef:RT_obj:Apps Auto_ev:Purchase_tipo:Experimento_expid:15,5589.8501,642,75322,9
com.ankapp,jampp_int,2021-06-28,RTGT - AR -Android,0.0,0,0,2
com.ankapp,jampp_int,2021-06-28,RTGT OC - AR -Android,11896.2216,0,0,0
com.ankapp,jampp_int,2021-06-28,UA - AR - Android,0.0,112,22,0
com.ankapp,Facebook Ads,2021-06-29,p:FB_nom:Descargas_os:Android_ef:Acq_obj:Apps Auto_ev:Installs_tipo:AlwaysOn_expid:06,172090.73,2144,1101077,328
com.ankapp,Facebook Ads,2021-06-29,p:FB_nom:Eventos Audiencia Amplia_os:Android_ef:Acq_obj:Apps Manual_ev:OBC_tipo:AlwaysOn_expid:05,102084.76,1485,484246,128
com.ankapp,Facebook Ads,2021-06-29,p:FB_nom:Eventos Audiencia High Intent_os:Android_ef:Acq_obj:Apps Manual_ev:OBC_tipo:AlwaysOn_expid:05,91334.3097,825,350732,77
com.ankapp,Facebook Ads,2021-06-29,p:FB_nom:RMKT OB Sin transacciones_os:Mix_ef:RT_obj:Conversiones_ev:Purchase_tipo:AlwaysOn_expid:na,25485.1808,434,106016,16
com.ankapp,Landing Pages,2021-06-29,Footer Landings,0.0,39,0,10
com.ankapp,Organic,2021-06-29,organic,0.0,0,0,340
com.ankapp,Twitter,2021-06-29,IMS_p:TW_nom:Descargas_os:Android_ef:Acq_ev:Installs_plac:MAP_expid:_aud:Demographic10,0.0,0,0,1
