fecha,muertes,vacunados
2020-01-31,0,0
2020-02-29,1,0
2020-03-31,33,0
2020-04-30,264,0
2020-05-31,443,0
2020-06-30,1434,0
2020-07-31,4608,0
2020-08-31,7384,0
2020-09-30,10409,0
2020-10-31,11291,0
2020-11-30,7392,0
2020-12-31,4266,43222
2021-01-31,5410,343855
2021-02-28,3882,875033
2021-03-31,4021,2971426
2021-04-30,9911,4019202
2021-05-31,16044,4599434
2021-06-30,15189,8637324
2021-07-31,6651,9124961
